word,pos,meaning,example
drone racing,(n) 名詞,無人機競速,Drone racing has become a popular sport.
aerial photography,(n) 名詞,航拍；空中攝影,Aerial photography often uses a drone with a camera payload.
autonomy,(n) 名詞,自主性；自動化程度,The onboard computer increases the autonomy of the aircraft.
intermittently,(adv) 副詞,間歇地；斷斷續續地,The data link failed intermittently during flight.
onboard computer,(n) 名詞,機載電腦；車載電腦,The onboard computer allows the UAV to fly autonomously.
decoy,(n) 名詞,誘餌；欺騙性物體,A decoy drone can distract guided weapons.
gunnery,(n) 名詞,炮術；射擊,Gunnery and reconnaissance are different mission types.
reconnaissance,(n) 名詞,偵察；探測,Reconnaissance provides battlefield intelligence for operators.
battlefield intelligence,(n) 名詞,戰場情報,Reconnaissance UAVs provide battlefield intelligence in real time.
logistics,(n) 名詞,後勤；物資供應,Logistics drones can carry cargo to remote areas.
cargo,(n) 名詞,貨物；貨運,A cargo UAV supports logistics missions.
designate,(v) 動詞,指定；標定,A guided system can designate a target before launch.
in terms of,(prep) 介系詞,就……而言；根據,In terms of altitude and range, MALE and HALE are different.
range,(n) 名詞,航程；範圍,HALE systems have a longer range than tactical UAVs.
altitude,(n) 名詞,高度；海拔,MALE and HALE differ in altitude and endurance.
tactical,(adj) 形容詞,戰術的；戰場運用的,A small tactical system is portable and deployable.
MALE,(abbr) 縮寫,中空長航時,A MALE UAV flies lower than a HALE platform.
HALE,(abbr) 縮寫,高空長航時,A HALE system has higher altitude than a MALE system.
Mach,(n) 名詞,馬赫,A hypersonic vehicle travels faster than Mach 5.
hypersonic,(adj) 形容詞,極超音速的,A hypersonic aircraft may fly at more than Mach 5.
suborbital,(adj) 形容詞,次軌道的,A suborbital system flies higher than most aircraft but below full orbit.
low earth orbit,(n) 名詞,低地球軌道,A suborbital path does not reach low earth orbit.
hobbyist,(n) 名詞,業餘愛好者,A hobbyist may use a drone for recreational flying.
RTF,(abbr) 縮寫,開箱即飛,An RTF drone is convenient for a hobbyist.
COTS,(abbr) 縮寫,商用現成品,A hobby drone may use COTS support equipment and parts.
BNF,(abbr) 縮寫,綁定後即可飛,A BNF product is useful for an experienced hobbyist.
stealth,(adj./n.) 形容詞/名詞,匿蹤的；匿蹤能力,A stealth UAV may conduct reconnaissance more safely.
micro air vehicle,(n) 名詞,微型飛行器,A micro air vehicle carries less payload than a small tactical UAV.
small tactical,(adj./n.) 形容詞/名詞,小型戰術級,A small tactical system has more range than a micro air vehicle.
medium tactical,(adj./n.) 形容詞/名詞,中型戰術級,A medium tactical aircraft is larger than a small tactical system.
strategic,(adj) 形容詞,戰略的；策略的,A strategic system usually has longer range than a tactical UAV.
